"","year","c_regin","regin","x1","x2","x3","x28","x4","x5","x6","x5.","x6.","x7","x8","x9","x10","x11","x13","x14","x15","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","id","critic_set1","critic_set2","entropy_set1","entropy_set2","combine_set1","combine_set2"
"230",2017,"安徽","z34",20.61876293,72.1542,550.85,99.19,7823,1.682967126,2,1.570309512,2,64.37417603,487.9999084,142.0000305,2252,368,2.230000019,0.41,124,1023987.938,196.0000305,2639,91,3529.294922,4923.151367,1088.299927,4.03000021,183018.0625,0.289999992,80.94,"z34",0.121624654311218,0.108750309719506,0.122637172685043,0.10606615794085,0.122118108990985,0.107440891147025
"231",2018,"安徽","z34",31.96937025,90.4734,589.7,99.83,7999,1.409896658,2,1.482257528,2,68.19999695,511,143.0000305,2782,507,1.210000038,0.46,126,1057971.875,200.9999542,2859,107,3948.999756,5960.901367,1537.299927,4.519999981,198574.0625,0.299999982,79.77,"z34",0.129154527578231,0.11825117386447,0.130000556003701,0.116095748938891,0.129566842748559,0.117199685848187
"232",2019,"安徽","z34",35.12065237,151.3616,587.7,99.87,8288,1.296323279,2,2.085468024,2,68.25249481,472.000061,142.0000305,3071,580,1.279999971,0.49,127,1086317.375,219.0000458,2628,107,4078.263916,143217.7031,1665.000366,4.519999981,218762.1094,0.299999982,87.98,"z34",0.129721690165666,0.122298757357817,0.131425981952945,0.121465266177531,0.130552283249073,0.121892152619536
"233",2020,"安徽","z34",27.59101217,154.8,618.03,99.9,8351,1.370335812,2,2.845875581,2,68.30503082,394.9999695,148.0000153,4316,919,2.429999828,0.58,131,963140.0625,230.0000153,2334,100,4211.759277,3440975,1607.000122,4.21999979,225055.0938,0.299999982,97.06,"z34",0.129568504118861,0.124548952233781,0.132589397653864,0.125068476435331,0.131040748070637,0.124802393430278
"234",2021,"安徽","z34",28.92425208,133.434,614.77,99.92,8198,1.376045005,2,0.647402676,2,68.35761261,330.5613403,154.25354,5529,851,0.299999982,0.62,133,853929.75,241.5524902,2870,106,4349.624512,82673496,1551.020264,3.939910889,231529.1094,0.299999982,86.1,"z34",0.158973787259516,0.14435626108876,0.164265204343731,0.146412562622329,0.161552579497075,0.145359393415362
"235",2013,"江西","z36",26.51682372,9.6139,420.3,98.5,6867,0.865535504,1,0.322453901,2,50.90000153,292.000061,292.000061,696,25,14.29999924,0.44,114,645355,137.0000153,229,51,1793.299927,1424.199829,468.1471863,3.423189402,89732.96094,0.25999999,52.62,"z36",0.0621926286035249,0.0562199684646794,0.0598538301870527,0.0531638675614319,0.0610528063015547,0.0547291007298854
"236",2014,"江西","z36",30.71005572,18.0127,498.8,98.55,7015,1.309545263,1,0.437474761,2,51.39046097,592.999939,286.000061,1028,59,19.13999939,0.47,114,755188.25,137.0000153,219,49,1888.354614,1682.334229,536.0928955,3.544446945,103717,0.270000011,60.03,"z36",0.0709349631936469,0.0611573694059143,0.0697743524378941,0.0581862541915189,0.0703693351283992,0.0597079605186649
"237",2015,"江西","z36",32.27674155,35.6,573.14,98.64,7072,1.300296918,1,0.696012573,2,51.88564301,569.0001221,334,1804,85,8.06000042,0.47,114,609511.8125,137.0000153,236,57,1988.447632,1987.255005,613.9000854,3.669999838,127094.0547,0.289999992,68.9,"z36",0.0746722835205813,0.0659308850146487,0.0734289244471344,0.0630081429136903,0.07406632774804,0.0645050741421043
"238",2016,"江西","z36",22.76290931,38.4982,585.94,98.83,6959,1.616240294,1,0.98164575,2,52.38559723,498.999939,327.000061,2288,81,37.61000061,0.47,113,517400.9063,138,304,57,2093.846191,2347.442383,703.000061,3.800000191,128944.0313,0.280000001,70.49,"z36",0.0786344095434931,0.0680632666265586,0.0785830208166724,0.0656076745496456,0.0786093650520621,0.0668653470835896
"239",2017,"江西","z36",21.21892696,33.2293,581.89,98.89,7159,1.419914298,1,1.854523129,2,52.89036942,417.0000305,319,2704,80,9.039999962,0.53,113,627413.125,139.0000153,425,61,2204.831543,2772.91333,708.1000366,3.5400002,152603.0625,0.299999982,74.65,"z36",0.0789161345987284,0.0736210493249102,0.0779537323750528,0.0711144669489471,0.0784471042153122,0.0723982550169881
